Station,Station_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,TIME,PM
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,9,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,3,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,4,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,11,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,23,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,16,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,18,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,0
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,17,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,21,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,7,1
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,10,2
PS 19,1,0.0103,0.1592,0.0986,0.4135,0.0372,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,15,1
